"date","NDVI","mission","type","year","yday","NDVIMissionPred","MissionResid","ReprojPred","NDVIReprojected"
2006-07-06,0.785907398956687,"landsat 5","forest",2006,187,0.799979394981668,-0.0140719960249814,0.839487198040059,0.825415202015077
2006-07-08,0.759911092686028,"landsat 5","forest",2006,189,0.800633935510518,-0.0407228428244896,0.839037256079246,0.798314413254757
2006-07-15,0.821535133297192,"landsat 5","forest",2006,196,0.800990876280088,0.0205442570171038,0.837424038057873,0.857968295074977
2006-07-22,0.821087318033264,"landsat 5","forest",2006,203,0.79896398095224,0.0221233370810237,0.836172326833468,0.858295663914492
2006-07-24,0.813425730614035,"landsat 5","forest",2006,205,0.79805760891047,0.0153681217035652,0.835892345008414,0.851260466711979
2006-07-31,0.808309590733817,"landsat 5","forest",2006,212,0.794136397096701,0.0141731936371157,0.835033273995011,0.849206467632127
2006-08-07,0.807705836334297,"landsat 5","forest",2006,219,0.789663795400416,0.0180420409338806,0.834029091318707,0.852071132252588
2006-08-09,0.821504955116891,"landsat 5","forest",2006,221,0.788385616576954,0.033119338539937,0.833658734592254,0.866778073132191
2006-08-16,0.797757377024676,"landsat 5","forest",2006,228,0.784130504940072,0.0136268720846037,0.83193256084765,0.845559432932253
2006-08-23,0.79645583857671,"landsat 5","forest",2006,235,0.780178896493247,0.0162769420834631,0.82940641008355,0.845683352167013
2006-08-25,0.641349668519277,"landsat 5","forest",2006,237,0.779027564347165,-0.137677895827888,0.828514833939192,0.690836938111304
2006-09-01,0.700949330231878,"landsat 5","forest",2006,244,0.774292681532062,-0.0733433513001841,0.824652078476018,0.751308727175834
2006-09-08,0.752592705057322,"landsat 5","forest",2006,251,0.766980772375147,-0.0143880673178253,0.819160681702696,0.80477261438487
2006-09-10,0.756693632944223,"landsat 5","forest",2006,253,0.764094014432847,-0.00740038148862388,0.817158568387287,0.809758186898663
2006-09-17,0.67946636083234,"landsat 5","forest",2006,260,0.749974896697366,-0.0705085358650259,0.807946015401624,0.737437479536598
2006-09-24,0.744854338158566,"landsat 5","forest",2006,267,0.727902803067023,0.0169515350915429,0.793972122104022,0.810923657195565
2006-09-26,0.756579145756105,"landsat 5","forest",2006,269,0.71989187542901,0.0366872703270947,0.788845723683833,0.825532994010928
2006-10-03,0.674275357842455,"landsat 5","forest",2006,276,0.685500849621264,-0.0112254917788094,0.766105201310008,0.754879709531199
2006-10-12,0.640785822893839,"landsat 5","forest",2006,285,0.627402662469567,0.0133831604242718,0.72457625047185,0.737959410896122
2006-10-26,0.486389855342724,"landsat 5","forest",2006,299,0.515766229480441,-0.0293763741377166,0.634332227775704,0.604955853637987
2006-10-28,0.486389855342724,"landsat 5","forest",2006,301,0.498957840982774,-0.0125679856400496,0.61971334015558,0.607145354515531
2006-11-04,0.486389855342724,"landsat 5","forest",2006,308,0.440960303603726,0.0454295517389984,0.567761603600956,0.613191155339954
2006-11-20,0.360533965431811,"landsat 5","forest",2006,324,0.325851978417432,0.034681987014379,0.464872336537186,0.499554323551565
2006-11-27,0.354291580578017,"landsat 5","forest",2006,331,0.286821311817505,0.0674702687605124,0.436137857857452,0.503608126617964
2006-12-06,0.20458098628811,"landsat 5","forest",2006,340,0.24666232622567,-0.0420813399375598,0.418055491711348,0.375974151773788
